stack,track_id,Genotype,early_speed_mean,late_speed_mean,speed_trend_slope,speed_acceleration,early_area_mean,late_area_mean,area_trend_slope,area_volatility,early_eccentricity_mean,late_eccentricity_mean,eccentricity_trend_slope,temporal_persistence,speed_cv,directional_consistency
MUT-1.tif,2815,MUT,0.5021296895596451,13.93751896492769,2.9208276196849345,-1.0913733877359684,460.5,507.5,1.3225806451612812,0.30295539764617996,0.9524309263554809,0.9591647306290366,-0.004450827402003754,0.31303203137318514,1.3252204175466127,0.5876683288014563
MUT-1.tif,2816,MUT,,,,,,,,,,,,,,
MUT-1.tif,2817,MUT,2.910686439111839,5.936040043569117,0.1530334019106295,-0.17078987667882378,304.6,255.0,-6.851226993865032,0.21485674288703616,0.9204656843695552,0.8954896860771748,-0.003545756856467541,0.35486069144844457,1.4721503505607276,0.6332724825554303
MUT-1.tif,2818,MUT,6.582445618282062,12.72227776097571,0.12512680179205027,-2.746979460406496,1453.5,470.5,-147.05147058823528,0.6425689118545257,0.9741428988252905,0.9631144162507128,0.0034279012421727976,0.29793988533316945,0.6943173898596415,0.6656811489990171
MUT-1.tif,2819,MUT,2.852252518680488,6.61954209616376,0.3832369917543269,-0.17491944561718262,420.0,372.0,-5.479020979020995,0.23685936473895614,0.9842826847407184,0.9501917101799158,-0.004583502845747703,0.3143112095368449,0.6663601605612783,0.6110496179228255
MUT-1.tif,2820,MUT,,,,,,,,,,,,,,
MUT-1.tif,2821,MUT,2.6555824757514546,2.477097211412078,0.04681706218904817,-0.05989745404758943,554.6666666666666,452.6666666666667,-7.972727272727254,0.24536779319655314,0.6602390829199364,0.6835742315229477,0.004781657473938939,-0.01234445137683026,0.5487493227978963,0.7042676114091072
MUT-1.tif,2822,MUT,0.0,7.665242651035904,1.8587240138855907,0.10214853476241761,815.0,548.0,-58.40000000000003,0.15401664308763324,0.978509223542251,0.981845662722533,0.00010356844625804975,0.657289508419738,0.8168967893642569,0.8136229236743129
MUT-1.tif,2823,MUT,1.322423637462675,2.883801762459843,0.10265152698099816,-0.05092506203113485,164.25,168.75,0.2747252747252859,0.16431810184865822,0.9026202562657677,0.8762060532293817,-0.002790657606275313,-0.304380687153196,0.6972693966618658,0.6926438735959501
MUT-1.tif,2824,MUT,1.3543657131850764,8.839868191305955,0.37628465543454837,-0.034311392716441645,740.375,589.875,-10.298757763975166,0.22080825706245263,0.8644309761649625,0.8344616640399583,-0.003497030020956277,0.4931884092599661,1.4134702029550728,0.6506120151587478
MUT-1.tif,2825,MUT,,,,,,,,,,,,,,
MUT-1.tif,2826,MUT,0.0,0.8378094236910942,0.11211498090074234,-0.5695726711664916,128.0,133.0,-1.3000000000000191,0.08501969055561905,0.9104051038853997,0.9035664247366471,-0.003145591369411592,-0.7816598311799658,0.8184164056025708,1.0
MUT-1.tif,2827,MUT,1.209796625360081,2.2628178891426005,0.1142248989090528,0.0018140552778168108,319.5,281.0,-4.0824175824175715,0.09391483799371297,0.6437107927580932,0.8785051358606327,0.023236335064264348,-0.3450055852002328,0.6290746987672053,0.818672001567483
MUT-1.tif,2828,MUT,1.5478498849706763,8.287049864473705,0.6205804617933862,0.12078755858346531,492.1666666666667,323.6666666666667,-14.49432404540764,0.20483234929766,0.6330937565173346,0.8214394373291355,0.0189703587311195,0.478346163248476,1.4523939413694051,0.7026929561204769
MUT-1.tif,2829,MUT,,,,,,,,,,,,,,
MUT-1.tif,2830,MUT,13.065911725690054,1.3371453402420503,-0.5939583801758218,-1.9467481440750989,496.5,659.0,33.64285714285714,0.3400396716997607,0.8003745285104862,0.8084395149350467,-0.00015414041254300238,-0.085157690642016,1.1165965361479466,0.711714013737935
MUT-1.tif,2831,MUT,9.943369124656135,20.130898033365575,0.3778968406736271,-0.009048512987471048,573.875,557.875,-0.1575330552410841,0.40828685670534476,0.9567621581801582,0.9579264240482419,-3.5454184017140416e-05,0.40578143872601524,0.808578314186392,0.6648536525855364
MUT-1.tif,2832,MUT,,,,,,,,,,,,,,
MUT-1.tif,2833,MUT,1.7640203648109694,2.2571880327374116,0.07273221360602106,-0.006142473132710922,189.0,88.4,-9.582142857142857,0.44120169650616714,0.8032178858855318,0.7239019201319614,-0.011355175087510518,-0.12118168964782275,0.5348058750602106,0.7147587495763952
MUT-1.tif,2834,MUT,,,,,,,,,,,,,,
MUT-1.tif,2835,MUT,,,,,,,,,,,,,,
MUT-1.tif,2836,MUT,,,,,,,,,,,,,,
MUT-1.tif,2837,MUT,0.0,9.56162179842381,4.780810899211904,-15.12187132564612,229.0,159.0,-35.00000000000004,0.336776879649816,0.8783874607530461,0.7710217624437442,-0.053682849154651144,,0.8275076854596104,
MUT-1.tif,2838,MUT,,,,,,,,,,,,,,
MUT-1.tif,2839,MUT,28.359582316560985,39.27273482767627,0.5133756510145495,-0.10959482977716416,674.4090909090909,387.40909090909093,-13.118177394155165,0.48274734408696884,0.9181998278737659,0.92328144856389,0.0014727357031040062,0.5944501258921042,0.41246897087704393,0.6450284298373417
MUT-1.tif,2840,MUT,,,,,,,,,,,,,,
MUT-1.tif,2841,MUT,,,,,,,,,,,,,,
MUT-1.tif,2842,MUT,,,,,,,,,,,,,,
MUT-1.tif,2843,MUT,,,,,,,,,,,,,,
MUT-1.tif,2844,MUT,0.0,0.062925636837912,0.2953806624034083,-2.0184596303695006,687.0,598.0,-34.19999999999999,0.13662430119964497,0.8453795403963168,0.6350705588942611,-0.06637693917100955,-0.4940649382836368,1.0941114915438062,1.0
MUT-1.tif,2845,MUT,,,,,,,,,,,,,,
