from_state,to_state,probability
large,large,0.7233231707317073
medium,large,0.14403620873269435
small,large,0.09842351938645079
large,medium,0.17256097560975608
medium,medium,0.6888977635782748
small,medium,0.17412299389291294
large,small,0.10411585365853658
medium,small,0.1670660276890309
small,small,0.7274534867206363
