stack,track_id,Genotype,area_mean,area_delta_mean,area_delta_max,area_slope,perimeter_mean,perimeter_delta_mean,perimeter_delta_max,perimeter_slope,eccentricity_mean,eccentricity_delta_mean,eccentricity_delta_max,eccentricity_slope,solidity_mean,solidity_delta_mean,solidity_delta_max,solidity_slope,orientation_mean,orientation_delta_mean,orientation_delta_max,orientation_slope
MUT-6.tif,3870,MUT,55.0,0.0,0,-7.105427357601002e-15,28.31370849898476,-2.0,2.0,-2.0,0.8659724887418595,-0.07560139196555626,0.07560139196555626,-0.07560139196555637,0.9096500820120283,0.04510661563696006,0.04510661563696006,0.045106615636959835,1.3430700684517496,0.026428893644796503,0.026428893644796503,0.026428893644796503
MUT-6.tif,3871,MUT,155.55555555555554,-5.0,241,-25.135416666666668,53.12972980687744,-0.914213562373094,62.970562748477136,-5.958302514658018,0.8285187602008952,0.009067542305006962,0.1819971147654178,-0.002847045086751728,0.8829838912827164,-0.004235294117647059,0.1535965292841649,0.0038429452172989787,0.5939694844432268,0.0862692351702066,3.0929866501875463,-0.0590523548458105
MUT-6.tif,3872,MUT,544.1111111111111,-4.764705882352941,247,2.3261093911248687,139.94321582734239,0.20083609190430038,69.07716446627535,1.3660838433488567,0.9735212840641169,0.0009469802744779462,0.02910372634507663,0.0013467831928824828,0.8257775288550575,-0.0015831416418522677,0.23371074515915857,-0.0015129378409224788,-0.4271972417922971,-0.16578535480219916,3.093008572947343,-0.20424189847346794
MUT-6.tif,3873,MUT,287.875,67.0,460,24.974025974025984,106.29722663808289,18.595217463052922,146.89444430272832,7.0401577553657875,0.974314703350371,0.0010380209382692446,0.06658017530378546,-0.0039259484049373305,0.8011647346429376,-0.006647340389671678,0.19834217506631302,0.0002371555437244753,0.8023152336098067,0.012856671464741025,0.2590480833003195,-0.00037794485631053047
MUT-6.tif,3874,MUT,326.0,0.0,0,,123.37362902255701,0.0,0.0,,0.9912187321180915,0.0,0.0,,0.8380462724935732,0.0,0.0,,0.846770876498877,0.0,0.0,
MUT-6.tif,3875,MUT,322.5,55.0,55,54.99999999999994,125.8203281636579,12.349242404917504,12.349242404917504,12.34924240491749,0.9913022746317468,-0.0015864467782531477,0.0015864467782531477,-0.0015864467782533698,0.7613636363636364,0.03282828282828287,0.03282828282828287,0.03282828282828276,0.8091601049335397,-0.021866682653284397,0.021866682653284397,-0.021866682653284508
MUT-6.tif,3876,MUT,208.6,-15.88888888888889,338,-8.731707317073184,61.667723625377505,-0.9960517882296966,77.35533905932738,0.3813052110336401,0.8217755184510912,0.0034287051582093295,0.23540890066609532,0.004140936756295776,0.8807568822231531,0.012442491386602299,0.17262834464217125,0.012943418612585127,0.48323700095180494,0.06959098335669948,1.9096769419312227,0.03638963344426658
MUT-6.tif,3877,MUT,325.0,45.0,146,43.799999999999976,94.62767850310115,18.5306276973456,40.04163056034262,16.418986283848337,0.9409558593181407,0.0006692567887994402,0.06722468915206348,-0.0010459021478654636,0.8543386380951089,-0.08154558645917505,0.2435171260312864,-0.06977003279486559,1.0496898527477927,0.10272019443227232,0.25626620584516946,0.09687346238724427
MUT-6.tif,3878,MUT,439.6,13.571428571428571,383,-3.8887283236994246,108.08569978244918,5.155983298862396,74.90559159102155,2.1192620851345816,0.90494499234278,0.008966913530497602,0.24067137995957721,0.009408375208514827,0.8264415614161593,-0.009538641310048248,0.2794269293698698,0.002581980919408638,0.8630343423622566,-0.017479908389110763,2.9844111830638314,0.04565655646468343
MUT-6.tif,3879,MUT,161.54545454545453,-4.2,146,2.2009708737864098,51.44403118499651,-0.4656854249492383,40.52691193458118,1.4373320572603008,0.7602676096120162,-0.0187965842219056,0.3869366328311426,0.025393803598382135,0.9048153373986646,-0.004995004995004992,0.05437116332516856,-0.009612060329455078,0.5970152935218642,-0.04392237658310379,0.44157961238519583,-0.010511514747125023
MUT-6.tif,3880,MUT,83.5,5.0,5,4.999999999999979,35.798989873223334,2.8284271247461916,2.8284271247461916,2.8284271247461845,0.8507253767455446,0.044012969597089224,0.044012969597089224,0.044012969597089335,0.9088162104514752,-0.04443654461429081,0.04443654461429081,-0.04443654461429092,1.0163087413962109,0.05063254792490002,0.05063254792490002,0.050632547924899796
MUT-6.tif,3881,MUT,254.66666666666666,7.5,38,7.499999999999979,82.94518993322754,-5.0710678118654755,5.1715728752538155,-5.071067811865479,0.9499225178813813,-0.04091113081996589,0.0592260957148677,-0.04091113081996604,0.876701698318071,-0.027169811320754744,0.05576547231270357,-0.02716981132075489,1.0266969684716536,0.019855435045623704,0.04150452977392893,0.01985543504562369
MUT-6.tif,3882,MUT,130.5,-31.666666666666668,86,-32.000000000000036,45.62741699796952,-3.804737854124364,10.928932188134524,-3.6970562748477236,0.682536650392422,0.173535389597673,0.2055013670138558,0.16994678374899225,0.8942094888548422,-0.0257693568087705,0.1006731050629206,-0.024652579659391338,0.30294068036785815,0.006289049697139133,0.9883088969787891,0.03225890521024319
MUT-6.tif,3883,MUT,176.75,-3.0526315789473686,91,-0.18721804511278373,58.424473272817224,-0.030830865138258303,32.485281374238554,0.14451203768930707,0.9066964425082331,0.005233973506883424,0.13244278891727745,0.001192822309907315,0.8990148373115419,-0.0018635186309121877,0.10333587333841332,0.0006845206058969566,-1.3773674402062674,0.0066140752111780955,0.17959222392759622,0.0018108618765098781
MUT-6.tif,3884,MUT,247.125,-38.42857142857143,92,-31.916666666666647,66.34048968100012,-6.793764169443436,23.07106781186546,-6.281786828319503,0.8656134100584048,-0.01883102193456752,0.05745574549093757,-0.022250981576988398,0.925694320973646,0.0004409851608493387,0.06425851982542485,0.00260582791441848,0.24634951534998417,-0.09296988415603757,3.1077575744501065,0.040404476856258385
MUT-6.tif,3885,MUT,213.0,0.0,0,,58.11269837220809,0.0,0.0,,0.7951935058481323,0.0,0.0,,0.9342105263157895,0.0,0.0,,-1.3469795081533082,0.0,0.0,
MUT-6.tif,3886,MUT,1663.0,108.66666666666667,396,81.59999999999978,344.969083452062,36.384776310850214,168.71677477306463,25.286500705120456,0.7809394566789445,-0.05878585700199842,0.3305353978280855,-0.05442723446593534,0.6524582815303326,-0.02747212238160786,0.1357547906264268,-0.022462977421652562,0.7428305215557757,-0.35939422712095515,1.2449365746491359,-0.3026630892463901
MUT-6.tif,3887,MUT,488.5,-28.31578947368421,512,-35.369147659063614,115.82351544706691,-5.3108206100537645,107.39087296526013,-6.764841713138153,0.8591834153623328,-0.005339181737817158,0.2526446992836653,-0.011731051807555345,0.8165756912885331,0.007191935749982704,0.16153838411289267,0.0074310924226151575,-0.06630531394496622,0.13332064197899776,3.0366138264824007,0.2052842577177458
MUT-6.tif,3888,MUT,256.0,-21.0,604,0.7428571428571324,87.03199247992275,-8.505382386916235,190.10155108391484,-1.3335755489349155,0.8536093598538262,-0.03922362640413977,0.2750523185505219,-0.021597589005147206,0.8158956906880959,0.02214371333038927,0.3897448433919022,0.009174616713172557,0.10241573746549065,-0.007011579225393838,1.811879171104298,0.08593853083697915
