from_state,to_state,count
persistent,persistent,1031
reversing,persistent,2447
start,persistent,342
stationary,persistent,0
turning,persistent,598
persistent,reversing,2485
reversing,reversing,6624
start,reversing,683
stationary,reversing,0
turning,reversing,1709
persistent,start,13
reversing,start,91
start,start,0
stationary,start,1559
turning,start,23
persistent,turning,565
reversing,turning,1742
start,turning,240
stationary,turning,0
turning,turning,961
