stack,track_id,Genotype,num_frames,total_path_length,net_displacement,directionality_ratio,mean_speed,max_speed,n_stationary,persistence_fraction
MUT-1.tif,2815,MUT,7.0,54.26298548056083,4.420743465385089,0.08146885812187346,7.751855068651547,23.97086778612116,1.0,0.08146885812187346
MUT-1.tif,2816,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2817,MUT,15.0,109.75567572247397,29.340923859446825,0.2673294448447268,7.317045048164931,32.211210188695475,1.0,0.2673294448447268
MUT-1.tif,2818,MUT,7.0,131.32918339699745,37.02666362912867,0.2819378196938915,18.76131191385678,38.19879052663578,1.0,0.2819378196938915
MUT-1.tif,2819,MUT,12.0,61.593071259524066,39.352120881413505,0.6389049949401335,5.1327559382936725,11.909970463164333,1.0,0.6389049949401335
MUT-1.tif,2820,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2821,MUT,11.0,29.471420694939486,2.7804394727264246,0.09434358463770467,2.679220063176317,4.551101344863091,1.0,0.09434358463770467
MUT-1.tif,2822,MUT,5.0,16.99136375495041,8.04813752510679,0.47366048076994277,3.398272750990082,7.665242651035904,1.0,0.47366048076994277
MUT-1.tif,2823,MUT,13.0,32.44253451517318,15.509018866521945,0.4780458462414048,2.4955795780902443,7.0033546812003244,1.0,0.4780458462414048
MUT-1.tif,2824,MUT,24.0,153.8251016384794,7.562391090258053,0.049162269419663555,6.409379234936641,29.528525291583605,1.0,0.049162269419663555
MUT-1.tif,2825,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2826,MUT,4.0,3.953909532048151,0.9968709093878554,0.25212284229261805,0.9884773830120378,2.2541892852114582,1.0,0.25212284229261805
MUT-1.tif,2827,MUT,13.0,24.78722827749771,4.0141806739840975,0.16194552408379773,1.906709867499824,3.9895566830543854,1.0,0.16194552408379773
MUT-1.tif,2828,MUT,18.0,68.97088720218011,26.579212799766413,0.3853685790912411,3.831715955676673,24.961912991944203,1.0,0.3853685790912411
MUT-1.tif,2829,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2830,MUT,8.0,98.35242165561272,25.92994560689149,0.2636431840762076,12.29405270695159,31.81730558414696,1.0,0.2636431840762076
MUT-1.tif,2831,MUT,50.0,654.2093743644929,36.335549426872724,0.05554116289172641,13.084187487289858,38.2335261674984,1.0,0.05554116289172641
MUT-1.tif,2832,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2833,MUT,15.0,27.303067964171962,3.1876348061343656,0.11675005938223833,1.8202045309447974,3.9841920718189425,1.0,0.11675005938223833
MUT-1.tif,2834,MUT,2.0,6.833171924425199,6.833171924425199,1.0,3.4165859622125994,6.833171924425199,1.0,1.0
MUT-1.tif,2835,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2836,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2837,MUT,3.0,29.464304023281798,18.0532439211375,0.6127157765841805,9.821434674427266,19.902682224857987,1.0,0.6127157765841805
MUT-1.tif,2838,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2839,MUT,66.0,2547.3952915927134,56.82989872596378,0.02230902244089173,38.596898357465356,56.85863878579417,1.0,0.02230902244089173
MUT-1.tif,2840,MUT,2.0,1.8595195739595127,1.8595195739595127,1.0,0.9297597869797564,1.8595195739595127,1.0,1.0
MUT-1.tif,2841,MUT,2.0,2.2090371210552813,2.2090371210552813,1.0,1.1045185605276406,2.2090371210552813,1.0,1.0
MUT-1.tif,2842,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2843,MUT,2.0,22.7051065870047,22.7051065870047,1.0,11.35255329350235,22.7051065870047,1.0,1.0
MUT-1.tif,2844,MUT,4.0,8.199689795153917,3.215918547973806,0.39220002564907275,2.0499224487884793,5.450896935918181,1.0,0.39220002564907275
MUT-1.tif,2845,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2846,MUT,5.0,83.9722286296216,30.84662927994437,0.3673432250559928,16.79444572592432,29.43230254048324,1.0,0.3673432250559928
MUT-1.tif,2847,MUT,10.0,31.47870266859954,24.297358900343283,0.7718665904418053,3.147870266859954,23.862432863482503,1.0,0.7718665904418053
MUT-1.tif,2848,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2849,MUT,3.0,5.316690441558645,4.4196580859497585,0.831279935239955,1.772230147186215,2.9994161887445654,1.0,0.831279935239955
MUT-1.tif,2850,MUT,2.0,1.5860781930260017,1.5860781930260017,1.0,0.7930390965130009,1.5860781930260017,1.0,1.0
MUT-1.tif,2851,MUT,12.0,236.57046536330014,50.02946005053334,0.21147804724357003,19.71420544694168,39.431083678689795,1.0,0.21147804724357003
MUT-1.tif,2852,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2853,MUT,36.0,550.7653468697763,14.805858680837018,0.02688233521768343,15.29903741304934,43.65523322640637,1.0,0.02688233521768343
MUT-1.tif,2854,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2855,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,
MUT-1.tif,2856,MUT,3.0,2.52319705593194,0.6631315754109613,0.26281402550465266,0.8410656853106467,1.3980466296494782,1.0,0.26281402550465266
MUT-1.tif,2857,MUT,2.0,1.5641015346537004,1.5641015346537004,1.0,0.7820507673268502,1.5641015346537004,1.0,1.0
