from_state,to_state,probability
fast,fast,0.8984907172432216
medium,fast,0.19589257503949448
slow,fast,0.1571294559099437
fast,medium,0.07720048083344463
medium,medium,0.6417061611374407
slow,medium,0.4648217636022514
fast,slow,0.02430880192333378
medium,slow,0.16240126382306477
slow,slow,0.3780487804878049
