stack,track_id,Genotype,num_frames,total_path_length,net_displacement,directionality_ratio,mean_speed,max_speed,n_stationary,persistence_fraction,alpha_x,K_x,D_est_x,P_est_x,alpha_y,K_y,D_est_y,P_est_y,alpha,K,D_est,P_est,area_mean,area_delta_mean,area_delta_max,area_slope,perimeter_mean,perimeter_delta_mean,perimeter_delta_max,perimeter_slope,eccentricity_mean,eccentricity_delta_mean,eccentricity_delta_max,eccentricity_slope,solidity_mean,solidity_delta_mean,solidity_delta_max,solidity_slope,orientation_mean,orientation_delta_mean,orientation_delta_max,orientation_slope,early_speed_mean,late_speed_mean,speed_trend_slope,speed_acceleration,early_area_mean,late_area_mean,area_trend_slope,area_volatility,early_eccentricity_mean,late_eccentricity_mean,eccentricity_trend_slope,temporal_persistence,speed_cv,directional_consistency,r_peak,g_peak,corr_length
WT-1.tif,345,WT,24.0,47.673046294636926,8.729693016980876,0.1831159050132473,1.9863769289432052,5.373711107979929,1.0,0.1831159050132473,0.6357650267621169,5.208982046919097,0.6786414499927973,3.5279887650300923e-07,0.6357650267621169,5.208982046919097,0.6786414499927973,3.5279887650300923e-07,0.6357650267621169,5.208982046919097,0.6786414499927973,3.5279887650300923e-07,401.0416666666667,-12.391304347826088,100,-13.735217391304317,97.85843097072092,-1.809887695563892,23.556349186104057,-2.1533611097863696,0.9270419965726587,-0.00114046370299605,0.055837590151950445,-0.0027030148974448824,0.8754166154952664,-0.003121330977751604,0.11551045950295014,-0.0014578325969908682,-1.2882212555353358,3.097860182405229e-05,0.1608677398773637,-0.004399281829206263,1.9798049006668061,2.3238849962025196,0.012875891614128084,0.0011414315770469769,501.25,272.75,-13.735217391304317,0.26045257133043015,0.9506471003007604,0.9014559157439161,-0.0027030148974448824,0.041206862072565666,0.722323697705207,0.6780429701230717,3.0,76840.63242703484,9.0
WT-1.tif,346,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,521.0,0.0,0,,152.57463914933368,0.0,0.0,,0.9831776432566095,0.0,0.0,,0.7881996974281392,0.0,0.0,,-1.1640818710018759,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,347,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,134.0,0.0,0,,53.94112549695428,0.0,0.0,,0.9384427800216874,0.0,0.0,,0.8933333333333333,0.0,0.0,,0.7843072406182092,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,348,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,313.0,0.0,0,,88.70458146424487,0.0,0.0,,0.9105799366227201,0.0,0.0,,0.812987012987013,0.0,0.0,,-1.4536324124484,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,349,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,441.0,0.0,0,,103.7401153701776,0.0,0.0,,0.9028206856945485,0.0,0.0,,0.8464491362763915,0.0,0.0,,-0.8136816642967317,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,350,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,574.0,0.0,0,,170.05992052357226,0.0,0.0,,0.9908577134735523,0.0,0.0,,0.7873799725651578,0.0,0.0,,-1.224946373828244,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,351,WT,2.0,0.5891682488180195,0.5891682488180195,1.0,0.2945841244090098,0.5891682488180195,1.0,1.0,,,,,,,,,,,,,214.5,-29.0,29,-28.999999999999844,65.698484809835,-4.485281374238582,4.485281374238582,-4.485281374238554,0.9308404033017725,-0.008956691630947478,0.008956691630947478,-0.008956691630947216,0.8826135764461756,-0.003112615447417255,0.003112615447417255,-0.0031126154474169624,-1.2784992845596153,-0.11516663792814175,0.11516663792814175,-0.11516663792814148,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,352,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,148.0,0.0,0,,55.077164466275356,0.0,0.0,,0.8828875283176874,0.0,0.0,,0.8654970760233918,0.0,0.0,,0.7817084596630335,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,353,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,243.0,0.0,0,,70.35533905932736,0.0,0.0,,0.872579410902242,0.0,0.0,,0.8741007194244604,0.0,0.0,,-1.2277094912350168,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,354,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,129.0,0.0,0,,47.3492424049175,0.0,0.0,,0.9224218064311035,0.0,0.0,,0.9148936170212766,0.0,0.0,,1.5132919377958904,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
