track_id,D_est,P_est
0,87.9436280593995,2.971179839508007e-10
1,41.52456528883811,10.278208222617073
2,0.5122843571709452,9.005869197698234e-09
3,2259.190468640646,583.46412810398
4,9.790122153062919,3.5248517504134974e-07
5,0.42287097194087325,4.099819945768814e-09
6,5.002264063071492,1.4833564520677112
7,9.279462130859532,8.002902701474938e-08
8,1.303200504546518,4.688712334917634e-07
9,14.944589440355449,3.5284704737281602e-09
10,16.58726120955038,5.341738757887274
11,33.12941140673208,16.657996916232914
12,1.8452238657210729,8.5871795431788e-09
13,2.904114019534454,3.6399997614825947
14,16.79599930204756,2.9527905161168053e-08
15,87.82036922477252,0.018784724949809956
16,26.18185228332731,5.802254230725384e-08
17,20.25083244519987,2.518118573427722e-08
18,,
19,22.329708274485476,2.54357834761697e-07
20,12.8571466553691,8.079495922242279
21,0.09105635937202163,2.939552810560957e-07
22,1.5005816259978888,4.5913010980325287e-08
23,20.502092884478163,5.349564166633484e-08
24,,
25,8.86944465346965,1.6836715441039287
26,30.262426252981204,3.888226426056083e-08
27,45.99890251118184,3.58536972384273e-07
28,,
29,0.16859790362990904,2.311139535033958e-07
30,,
31,2.5221697972329404,4.586781303687369
32,,
33,13.91290479975503,3.7684295797821637e-08
34,,
35,5.752106974575772,0.5789020359699153
36,0.4655430968768346,2.0822156260461946e-08
37,,
38,3.831840501450293,1.098441797767436e-06
39,,
40,22.558436370366493,1.3262101037287438e-07
41,41.32646521086297,2.867678407136802e-08
42,,
43,,
44,1.0965012434787287,6.510573289415525e-09
45,,
46,,
47,,
48,8084.544109280533,1533.0865985182609
49,54.598884600899325,0.004770838116509881
50,0.08092841602096983,1.138911026593439e-08
51,5.414624318399142,9.087556272625296e-08
52,7.72743907558173,7.727037831667896e-08
53,,
54,,
55,,
56,,
57,,
58,7.193627448342447,0.9541289890959376
59,,
60,792.4889340020892,392.47844322226547
61,,
62,1168.9924998987626,1663.9457092537934
63,17.75643828264397,6.329531674739111e-09
64,,
65,17.36133258026138,2.0421052797943884
66,3.6473541371469884,1.9320658466693475e-07
67,10.449508273144346,0.5674045679310016
68,7.14061115219426,4.175534521244547e-08
69,60.517014650175874,3.031594815058877e-07
70,,
71,,
72,,
73,,
74,,
75,,
76,32.79193492949409,4.973771669111723e-07
77,,
78,27.914286550758312,6.759640795112187
79,9556.860603165662,99.81891677387598
80,,
81,5.838707931879658,9.835983576939565e-08
82,,
83,2.4899528357288863,1.0648601169386203
84,,
85,5.132240794352962,3.6400747943852464e-08
86,1241.7161150688014,721.118695180934
87,9917.893836617048,1430.6643036641
88,,
89,,
90,,
91,,
92,,
