track_id,Genotype,start,end,duration
1057,WT,0,37,53
1058,WT,0,0,1
1059,WT,0,15,19
1060,WT,0,2,3
1061,WT,0,11,15
1062,WT,0,102,191
1063,WT,0,16,35
1064,WT,0,26,33
1065,WT,0,13,14
1066,WT,0,24,53
1067,WT,1,1,1
1068,WT,1,32,38
1069,WT,2,2,1
1070,WT,3,23,30
1071,WT,4,4,1
1072,WT,4,4,1
1073,WT,5,33,38
1074,WT,5,15,11
1075,WT,6,6,1
1076,WT,7,7,1
1077,WT,8,8,1
1078,WT,10,10,1
1079,WT,11,12,2
1080,WT,12,20,9
1081,WT,12,13,2
1082,WT,13,13,1
1083,WT,15,15,1
1084,WT,15,16,2
1085,WT,16,17,2
1086,WT,16,20,8
1087,WT,16,16,1
1088,WT,16,16,1
1089,WT,17,19,3
1090,WT,18,20,3
1091,WT,18,18,1
1092,WT,18,20,3
1093,WT,19,19,1
1094,WT,20,23,4
1095,WT,20,25,6
1096,WT,21,27,7
1097,WT,21,21,1
1098,WT,21,27,10
1099,WT,21,22,2
1100,WT,22,24,3
1101,WT,23,23,1
1102,WT,25,31,7
1103,WT,25,26,2
1104,WT,25,31,7
1105,WT,25,25,1
1106,WT,25,25,1
1107,WT,27,29,3
1108,WT,27,47,30
1109,WT,27,27,1
1110,WT,28,30,3
1111,WT,28,31,4
1112,WT,28,28,1
1113,WT,28,28,1
1114,WT,28,28,1
1115,WT,28,28,1
1116,WT,29,31,3
1117,WT,30,80,101
1118,WT,30,30,1
1119,WT,30,34,5
1120,WT,31,41,11
1121,WT,31,50,20
1122,WT,31,37,7
1123,WT,32,34,3
1124,WT,32,32,1
1125,WT,32,32,1
1126,WT,33,35,3
1127,WT,33,33,1
1128,WT,34,34,1
1129,WT,34,34,1
1130,WT,34,34,1
1131,WT,34,35,2
1132,WT,35,64,36
1133,WT,35,35,1
1134,WT,36,70,38
1135,WT,37,38,2
1136,WT,37,38,2
1137,WT,37,37,1
1138,WT,39,39,1
1139,WT,39,39,1
1140,WT,39,46,8
1141,WT,40,40,1
1142,WT,40,40,1
1143,WT,41,41,1
1144,WT,41,41,1
1145,WT,41,54,26
1146,WT,42,49,8
