imputation,feature_set,model,cv_strategy,n_features,cv_mean,cv_std
median,Original + PF-SDF,GradientBoosting,GroupKFold,29,0.3519118324374847,0.12700070024899945
median,Original + Injury,LogisticRegression,StratifiedKFold,26,0.6603333168216018,0.0003795118926261187
median,Original + Injury,LogisticRegression,GroupKFold,26,0.6012356732808265,0.2295246923240057
median,Original + Injury,RandomForest,StratifiedKFold,26,0.6596288162739625,0.004453334241287423
median,Original + Injury,RandomForest,GroupKFold,26,0.5888230944917142,0.20673318832362034
median,Original + Injury,GradientBoosting,StratifiedKFold,26,0.6612720087622256,0.004101868998921634
median,Original + Injury,GradientBoosting,GroupKFold,26,0.5401737781353508,0.15343503607634673
median,All Features,LogisticRegression,StratifiedKFold,57,0.6600988502330907,0.0007136077361127285
median,All Features,LogisticRegression,GroupKFold,57,0.49460660623992886,0.24193236518228922
median,All Features,RandomForest,StratifiedKFold,57,0.71193688115406,0.02022188569329432
median,All Features,RandomForest,GroupKFold,57,0.38389385491937084,0.1443840205783488
median,All Features,GradientBoosting,StratifiedKFold,57,1.0,0.0
median,All Features,GradientBoosting,GroupKFold,57,0.3519118324374847,0.12700070024899945
