stack,track_id,Genotype,num_frames,total_path_length,net_displacement,directionality_ratio,mean_speed,max_speed,n_stationary,persistence_fraction,alpha,K,D_est,P_est,area_mean,area_delta_mean,area_delta_max,area_slope,perimeter_mean,perimeter_delta_mean,perimeter_delta_max,perimeter_slope,eccentricity_mean,eccentricity_delta_mean,eccentricity_delta_max,eccentricity_slope,solidity_mean,solidity_delta_mean,solidity_delta_max,solidity_slope,orientation_mean,orientation_delta_mean,orientation_delta_max,orientation_slope,early_speed_mean,late_speed_mean,speed_trend_slope,speed_acceleration,early_area_mean,late_area_mean,area_trend_slope,area_volatility,early_eccentricity_mean,late_eccentricity_mean,eccentricity_trend_slope,temporal_persistence,speed_cv,directional_consistency,r_peak,g_peak,corr_length,num_frames__log1p,total_path_length__log1p,net_displacement__log1p,directionality_ratio__log1p,mean_speed__log1p,max_speed__log1p,n_stationary__log1p,persistence_fraction__log1p,K_x__log1p,D_est_x__log1p,P_est_x__log1p,K_y__log1p,D_est_y__log1p,P_est_y__log1p,K__log1p,D_est__log1p,P_est__log1p,area_mean__log1p,area_delta_max__log1p,perimeter_mean__log1p,perimeter_delta_max__log1p,eccentricity_mean__log1p,eccentricity_delta_max__log1p,solidity_mean__log1p,solidity_delta_max__log1p,orientation_delta_max__log1p,early_speed_mean__log1p,late_speed_mean__log1p,early_area_mean__log1p,late_area_mean__log1p,area_volatility__log1p,early_eccentricity_mean__log1p,late_eccentricity_mean__log1p,speed_cv__log1p,directional_consistency__log1p,r_peak__log1p,g_peak__log1p,corr_length__log1p
MUT-1.tif,2815,MUT,7.0,54.26298548056083,4.420743465385089,0.0814688581218734,7.751855068651547,23.97086778612116,1.0,0.0814688581218734,-1.3739088950749767,377.1422748129606,6.298122986008757,8.938362222971113e-08,423.1428571428572,9.5,390,1.3225806451612812,105.28688409935184,0.4368867239266076,83.04163056034261,-1.3296955725315165,0.91324198422762,0.0038916193992628,0.2822173269932287,-0.0044508274020037,0.8626260419882589,0.0089891310803587,0.1002448729721458,0.0143019760522288,-0.3762327793802318,0.0084874228432174,3.1269883171300057,0.1990723015118701,0.5021296895596451,13.93751896492769,2.9208276196849345,-1.0913733877359684,460.5,507.5,1.3225806451612812,0.3029553976461799,0.9524309263554808,0.9591647306290366,-0.0044508274020037,0.3130320313731851,1.325220417546613,0.5876683288014563,3.0,112054.15793480934,9.0,2.079441541679836,4.012103344104696,1.690232976779766,0.0783201709172162,2.169265685744927,3.21770985683643,0.6931471805599453,0.0783201709172162,5.935270513197321,1.9876171898877129,8.93836182349954e-08,5.935270513197321,1.9876171898877129,8.93836182349954e-08,5.935270513197321,1.9876171898877129,8.93836182349954e-08,6.050070325708447,5.968707559985366,4.666141892028316,4.43131227798209,0.6487991770885695,0.2485908659668674,0.6219873425325692,0.0955327668228561,1.4175479199280578,0.4068838941947872,2.7038760993095137,6.134482053942907,6.231465215488615,0.2646350670473756,0.6690752250792797,0.6725182245690378,0.8438148377916309,0.4622664800541951,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2816,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,793.0,0.0,0,,119.25483399593904,0.0,0.0,,0.8590848218312984,0.0,0.0,,0.9188876013904984,0.0,0.0,,-1.4476084978244088,0.0,0.0,,,,,,,,,,,,,,,,3.0,112054.15793480934,9.0,0.6931471805599453,0.0,0.0,,0.0,0.0,0.6931471805599453,,,,,,,,,,,6.677083461247136,0.0,4.789613107728319,0.0,0.6200843353645067,0.0,0.6517456438617771,0.0,0.0,,,,,,,,,,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2817,MUT,15.0,109.75567572247397,29.340923859446825,0.2673294448447268,7.317045048164931,32.211210188695475,1.0,0.2673294448447268,0.138984044878892,195.6921027568064,9.821372002627133,9.197616567440148e-08,261.6,-7.571428571428571,142,-6.851226993865032,74.12143092790393,-2.1162440712835378,33.10660171779821,-1.891015875745756,0.9185257099311,-0.0035551722665795,0.0382643006501808,-0.0035457568564675,0.855599684178513,0.0081101549053356,0.1480386416861827,0.008034403398466,-0.3262434502864778,0.0211923175629066,2.0078008267952585,0.0040478503047519,2.910686439111839,5.936040043569117,0.1530334019106295,-0.1707898766788237,304.6,255.0,-6.851226993865032,0.2148567428870361,0.9204656843695552,0.8954896860771748,-0.0035457568564675,0.3548606914484445,1.4721503505607276,0.6332724825554303,3.0,112054.15793480934,9.0,2.772588722239781,4.707326655670564,3.412497423669274,0.23691188714886,2.1183070292678097,3.502887475215396,0.6931471805599453,0.23691188714886,5.281639575920027,2.381523067840501,9.19761614445942e-08,5.281639575920027,2.381523067840501,9.19761614445942e-08,5.281639575920027,2.381523067840501,9.19761614445942e-08,5.570631961868696,4.962844630259907,4.319105883279607,3.52949096431406,0.6515570316737684,0.0375503772361128,0.618207923696317,0.138054957336275,1.1012091893990597,1.3637129184635937,1.936731012755854,5.722277057292366,5.545177444479562,0.1946261627520653,0.6525677005731401,0.6394772146918016,0.9050883591701392,0.4905856601761569,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2818,MUT,7.0,131.32918339699745,37.02666362912867,0.2819378196938915,18.76131191385678,38.19879052663578,1.0,0.2819378196938915,0.4592617078421313,473.5122975839673,59.20319431075295,2.600033962010625e-07,878.0,-118.66666666666669,1637,-147.05147058823528,162.98885271170678,-12.323520916159048,233.6223663640862,-14.364633455797648,0.9553522493195749,0.0004059122339817,0.1062676073829751,0.0034279012421727,0.8229945447512643,-0.0133830656961479,0.2255007974912816,-0.0118289633158816,0.3823556933915805,-0.0136584719939279,0.1580392235465247,-0.0430261541691599,6.582445618282062,12.72227776097571,0.1251268017920502,-2.746979460406496,1453.5,470.5,-147.05147058823528,0.6425689118545257,0.9741428988252904,0.9631144162507128,0.0034279012421727,0.2979398853331694,0.6943173898596415,0.6656811489990171,3.0,112054.15793480934,9.0,2.079441541679836,4.885292631806932,3.638287588118718,0.2483728547433223,2.9837260825175025,3.668645892408073,0.6931471805599453,0.2483728547433223,6.162287534645583,4.097725412547471,2.600033624001854e-07,6.162287534645583,4.097725412547471,2.600033624001854e-07,6.162287534645583,4.097725412547471,2.600033624001854e-07,6.778784897685177,7.401231264413015,5.099798454243967,5.457977269970306,0.6705703558871897,0.1009918334917351,0.6004805032352545,0.2033495747334983,0.1467282503790017,2.025835788551196,2.619020626082176,7.282417477935256,6.155919102073512,0.4962614259635092,0.6801343288802271,0.6745322000199406,0.5272799398721789,0.5102341382723403,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2819,MUT,12.0,61.59307125952407,39.35212088141351,0.6389049949401335,5.1327559382936725,11.909970463164331,1.0,0.6389049949401335,1.6384706690860908,44.31309457571864,52.58975214489802,1.8523675682590155,450.25,-1.0,216,-5.479020979020995,126.14612784735608,-2.3173980026044023,57.94112549695427,-3.5384305042710134,0.9745371496633152,-0.0067154939584208,0.0430705860790273,-0.0045835028457477,0.89216846440382,0.0027940788801835,0.0682881289308176,0.0034565251268809,1.0657642436070602,0.0099072248277225,0.0388959969650377,0.0116788504933786,2.852252518680488,6.61954209616376,0.3832369917543269,-0.1749194456171826,420.0,372.0,-5.479020979020995,0.2368593647389561,0.9842826847407184,0.9501917101799158,-0.0045835028457477,0.3143112095368449,0.6663601605612783,0.6110496179228255,3.0,112054.15793480934,9.0,2.5649493574615367,4.136654589225058,3.6976439554514338,0.4940283328224191,1.8136442310197387,2.557999916952319,0.6931471805599453,0.4940283328224191,3.813596054199837,3.9813578584708353,1.0481493751238555,3.813596054199837,3.9813578584708353,1.0481493751238555,3.813596054199837,3.9813578584708353,1.0481493751238555,6.11202150964709,5.37989735354046,4.845337037982126,4.076539072766087,0.6803340162869014,0.0421688497392901,0.6377235070483956,0.0660574877960276,0.0381586079394018,1.3486580470002332,2.030716275525976,6.042632833682381,5.921578419643816,0.2125753963561044,0.6852574809412372,0.667927680656035,0.5106417031904055,0.4768859031760531,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2820,MUT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,352.0,0.0,0,,78.11269837220809,0.0,0.0,,0.7057793048264744,0.0,0.0,,0.9072164948453608,0.0,0.0,,1.3419831100931152,0.0,0.0,,,,,,,,,,,,,,,,3.0,112054.15793480934,9.0,0.6931471805599453,0.0,0.0,,0.0,0.0,0.6931471805599453,,,,,,,,,,,5.8664680569332965,0.0,4.370873397568125,0.0,0.5340220765901356,0.0,0.645644846574942,0.0,0.0,,,,,,,,,,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2821,MUT,11.0,29.47142069493949,2.780439472726425,0.0943435846377046,2.679220063176317,4.551101344863091,1.0,0.0943435846377046,-0.1004444521872183,19.92267281237701,0.7166565846267524,1.463656929181698e-07,604.8181818181819,-0.8,192,-7.972727272727254,103.91057976281144,-0.6142135623730965,22.14213562373095,-1.0271254734347612,0.6498308846290785,0.015816353550983,0.264142268208272,0.0047816574739389,0.8861383296339654,0.0030215488647792,0.0511198625812707,0.0029989432200192,-0.2382863933338783,-0.0784127099830978,0.6024255837115116,-0.0544304332273183,2.6555824757514546,2.477097211412078,0.0468170621890481,-0.0598974540475894,554.6666666666666,452.6666666666667,-7.972727272727254,0.2453677931965531,0.6602390829199364,0.6835742315229477,0.0047816574739389,-0.0123444513768302,0.5487493227978963,0.7042676114091072,3.0,112054.15793480934,9.0,2.4849066497880004,3.416789217934272,1.3298402654995594,0.0901547174325427,1.3027007903642591,1.7139963485875007,0.6931471805599453,0.0901547174325427,3.0408333945336063,0.5403785529573291,1.463656822067128e-07,3.0408333945336063,0.5403785529573291,1.463656822067128e-07,3.0408333945336063,0.5403785529573291,1.463656822067128e-07,6.406579911048309,5.262690188904886,4.653108366015527,3.141655008938699,0.5006727884954085,0.2343938433531842,0.6345315270327316,0.049856131615892,0.4715184711129067,1.2962554445953194,1.2461978110507934,6.320168594082684,6.117362713983357,0.2194309025120216,0.5069616178531074,0.5209190522156238,0.4374477167039097,0.5331354650252355,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2822,MUT,5.0,16.99136375495041,8.04813752510679,0.4736604807699427,3.398272750990082,7.665242651035904,1.0,0.4736604807699427,0.5195409991076665,25.656709167145333,4.025953452736566,1.9901090804679226e-07,785.8,-66.75,286,-58.40000000000003,179.57261889578035,-4.908378413094859,43.04772721475251,-3.033809511662426,0.9805519247764956,0.0008341097950705,0.0050696443663571,0.000103568446258,0.8046418619419224,-0.0266702911682976,0.0942126116181427,-0.0346867483985556,0.8901078393205125,-0.0145703815691897,0.1189331240977616,-0.0068527461872905,0.0,7.665242651035904,1.8587240138855907,0.1021485347624176,815.0,548.0,-58.40000000000003,0.1540166430876332,0.978509223542251,0.981845662722533,0.000103568446258,0.657289508419738,0.8168967893642569,0.8136229236743129,3.0,112054.15793480934,9.0,1.791759469228055,2.889891851367802,2.2025589382017112,0.3877494285444378,1.4812119072605423,2.159319926357231,0.6931471805599453,0.3877494285444378,3.283040870040255,1.614615177784556,1.990108882441241e-07,3.283040870040255,1.614615177784556,1.990108882441241e-07,3.283040870040255,1.614615177784556,1.990108882441241e-07,6.667974086514904,5.659482215759621,5.196133017615888,3.785273755472261,0.6833755557500313,0.0050568369870243,0.5903621576614877,0.0900350284613915,0.112375663556148,0.0,2.159319926357231,6.704414354964107,6.3080984415095305,0.1432485900682478,0.6823436437188797,0.6840285634119034,0.5971299850292354,0.5953264600046526,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2823,MUT,13.0,32.44253451517318,15.509018866521943,0.4780458462414048,2.4955795780902443,7.0033546812003244,1.0,0.4780458462414048,1.4736125527335164,8.598112180776225,8.0009896288648,2.1347237438895936,175.69230769230768,-3.75,62,0.2747252747252859,55.85006655971786,-0.6666666666666666,18.38477631085024,-0.0561165023933868,0.8998180546863429,-0.0047944066340469,0.0834239827094688,-0.0027906576062753,0.9189855925466102,-0.0004331101714822,0.0460972850678732,3.691375147028122e-05,0.8673655191102099,0.0400086135781376,0.2448517166822487,0.0182521651005659,1.322423637462675,2.883801762459843,0.1026515269809981,-0.0509250620311348,164.25,168.75,0.2747252747252859,0.1643181018486582,0.9026202562657676,0.8762060532293817,-0.0027906576062753,-0.304380687153196,0.6972693966618658,0.6926438735959501,3.0,112054.15793480934,9.0,2.6390573296152584,3.509828578262221,2.803906829547304,0.3907208411527791,1.2514991925783785,2.0798607889334635,0.6931471805599453,0.3907208411527791,2.26156643130026,2.1973345300539533,1.1425410502306697,2.26156643130026,2.1973345300539533,1.1425410502306697,2.26156643130026,2.1973345300539533,1.1425410502306697,5.1744098452275615,4.143134726391533,4.040417390991249,2.964488031765638,0.6417581208956487,0.0801263805200681,0.6517967092050969,0.0450663680749198,0.2190164197568705,0.842611311708986,1.356814509595066,5.107459478731796,5.1343267664388055,0.1521355953492823,0.6432320183569903,0.6292516810286651,0.529020722422351,0.5262917287473933,1.3862943611198906,11.626746510608786,2.302585092994046
MUT-1.tif,2824,MUT,24.0,153.8251016384794,7.562391090258053,0.0491622694196635,6.409379234936641,29.528525291583605,1.0,0.0491622694196635,0.1496755813055699,139.59284179405236,7.109222657827289,2.75813088179214e-08,688.25,-5.826086956521739,522,-10.298757763975166,137.7959565017475,-1.1996470909581205,108.32590180780451,-1.651892033279473,0.8520943910698708,-0.005592940543887,0.175225113636583,-0.0034970300209562,0.7958884113644406,0.0052089511774492,0.1403662127346338,0.0049846891136079,1.325601651998235,0.0061780184318843,2.44212783490309,-0.0153928692308566,1.3543657131850764,8.839868191305955,0.3762846554345483,-0.0343113927164416,740.375,589.875,-10.298757763975166,0.2208082570624526,0.8644309761649625,0.8344616640399583,-0.0034970300209562,0.4931884092599661,1.4134702029550728,0.6506120151587478,3.0,112054.15793480934,9.0,3.218875824868201,5.042296103297214,2.147379484121531,0.0479920070788499,2.0027466618360945,3.418661501996233,0.6931471805599453,0.0479920070788499,4.945868066231667,2.093002013697093,2.7581308437557113e-08,4.945868066231667,2.093002013697093,2.7581308437557113e-08,4.945868066231667,2.093002013697093,2.7581308437557113e-08,6.535604049903906,6.259581464064923,4.933004915816574,4.694333346135802,0.6163171020255713,0.1614597153195418,0.5854998361927574,0.1313494500610333,1.236089836815865,0.8562713549637216,2.2864423157819616,6.608506570158891,6.381604489113401,0.1995131451739801,0.6229558999273251,0.6067510673694249,0.8810656300530011,0.5011461374173394,1.3862943611198906,11.626746510608786,2.302585092994046
